OAT,OAH,CDU1,CDU2,CDU3,CDU4,Fan,SAT
20.6,89.0,0.0,0.0,0.0,0.0,0.0,20.59914878576831
20.58333333333334,88.66666666666667,1.0,1.0,1.0,1.0,1.0,11.3141883438636
20.56666666666667,88.33333333333334,1.0,1.0,1.0,1.0,1.0,11.24647758598981
20.55,88.0,1.0,1.0,1.0,1.0,1.0,11.17873324823174
20.53333333333333,87.66666666666667,1.0,1.0,1.0,0.0,1.0,13.38101101931556
20.51666666666667,87.33333333333333,1.0,1.0,1.0,0.0,1.0,13.31924970620341
20.5,87.0,1.0,1.0,1.0,0.0,1.0,13.25746622975182
20.5,86.83333333333333,1.0,1.0,0.0,0.0,1.0,15.81158724116422
20.5,86.66666666666667,1.0,1.0,0.0,0.0,1.0,15.80064725642732
20.5,86.5,1.0,1.0,0.0,0.0,1.0,15.78970187878686
20.5,86.33333333333333,1.0,0.0,0.0,0.0,1.0,18.47400863216513
20.5,86.16666666666667,1.0,0.0,0.0,0.0,1.0,18.46778419359207
20.5,86.0,1.0,0.0,0.0,0.0,1.0,18.46155696071004
20.48333333333333,85.66666666666667,1.0,0.0,0.0,0.0,1.0,18.43216918751682
20.46666666666667,85.33333333333334,1.0,0.0,0.0,0.0,1.0,18.40277609794079
20.45,85.0,1.0,0.0,0.0,0.0,1.0,18.37337731407477
20.43333333333333,84.66666666666667,0.0,0.0,0.0,0.0,0.0,19.98401373478968
20.41666666666666,84.33333333333333,0.0,0.0,0.0,0.0,0.0,20.92727484647241
20.4,84.0,0.0,0.0,0.0,0.0,0.0,21.40692358829807
20.41666666666667,83.83333333333333,1.0,0.0,0.0,0.0,1.0,18.29638341201511
20.43333333333333,83.66666666666667,1.0,0.0,0.0,0.0,1.0,18.3076039378605
20.45,83.5,1.0,0.0,0.0,0.0,1.0,18.31881471137337
20.46666666666667,83.33333333333333,1.0,1.0,1.0,0.0,1.0,12.88950217101732
20.48333333333333,83.16666666666667,1.0,1.0,1.0,0.0,1.0,12.89405466739987
20.5,83.0,1.0,1.0,1.0,0.0,1.0,12.89858526226242
20.53333333333333,82.66666666666667,1.0,1.0,1.0,1.0,1.0,10.38928725311469
20.56666666666667,82.33333333333334,1.0,1.0,1.0,1.0,1.0,10.38143713306701
20.6,82.0,1.0,1.0,1.0,1.0,1.0,10.37343617612918
20.63333333333333,81.66666666666667,0.0,0.0,0.0,0.0,1.0,21.44918424769661
20.66666666666666,81.33333333333333,0.0,0.0,0.0,0.0,1.0,21.48255723528068
20.7,81.0,0.0,0.0,0.0,0.0,1.0,21.51593046793154
20.71666666666667,80.66666666666667,0.0,0.0,0.0,0.0,0.0,23.36728280764503
20.73333333333333,80.33333333333334,0.0,0.0,0.0,0.0,0.0,24.81094034616179
20.75,80.0,0.0,0.0,0.0,0.0,0.0,25.67542614770293
20.76666666666667,79.66666666666667,1.0,1.0,1.0,1.0,1.0,10.23414518129614
20.78333333333333,79.33333333333334,1.0,1.0,1.0,1.0,1.0,10.20527301827195
20.8,79.0,1.0,1.0,1.0,1.0,1.0,10.17628915600475
20.96666666666667,77.83333333333334,1.0,1.0,0.0,0.0,1.0,15.73269699095386
21.13333333333334,76.66666666666667,1.0,1.0,0.0,0.0,1.0,15.83380266280929
21.3,75.5,1.0,1.0,0.0,0.0,1.0,15.93377910584215
21.46666666666667,74.33333333333334,1.0,0.0,0.0,0.0,1.0,19.02640616710752
21.63333333333333,73.16666666666666,1.0,0.0,0.0,0.0,1.0,19.15237979734248
21.8,72.0,1.0,0.0,0.0,0.0,1.0,19.27767934575725
21.98333333333333,71.0,1.0,0.0,0.0,0.0,1.0,19.42583214140979
22.16666666666667,70.0,1.0,0.0,0.0,0.0,1.0,19.57337557408582
22.35,69.0,1.0,0.0,0.0,0.0,1.0,19.72030233560931
22.53333333333333,68.0,0.0,0.0,0.0,0.0,1.0,23.35040809848209
22.71666666666667,67.0,0.0,0.0,0.0,0.0,1.0,23.53380551882538
22.9,66.0,0.0,0.0,0.0,0.0,1.0,23.71720692639475
23.06666666666667,65.16666666666667,1.0,1.0,0.0,0.0,1.0,17.06804024579492
23.23333333333333,64.33333333333334,1.0,1.0,0.0,0.0,1.0,17.17964408647892
23.4,63.5,1.0,1.0,0.0,0.0,1.0,17.29038760802089
23.56666666666667,62.66666666666667,1.0,0.0,0.0,0.0,1.0,20.69212965830826
23.73333333333333,61.83333333333334,1.0,0.0,0.0,0.0,1.0,20.82458980318792
23.9,61.0,1.0,0.0,0.0,0.0,1.0,20.95653903260359
23.93333333333333,61.16666666666667,1.0,1.0,1.0,1.0,1.0,11.77252378652268
23.96666666666667,61.33333333333334,1.0,1.0,1.0,1.0,1.0,11.83303910653831
24.0,61.5,1.0,1.0,1.0,1.0,1.0,11.89355682344502
24.03333333333333,61.66666666666666,1.0,1.0,1.0,1.0,1.0,11.95407936791717
24.06666666666667,61.83333333333334,1.0,1.0,1.0,1.0,1.0,12.01460429995479
24.1,62.0,1.0,1.0,1.0,1.0,1.0,12.07513233452099
24.15,62.16666666666667,1.0,0.0,0.0,0.0,1.0,21.25913168149882
24.2,62.33333333333334,1.0,0.0,0.0,0.0,1.0,21.31678657827647
24.25,62.5,1.0,0.0,0.0,0.0,1.0,21.3744529753248
24.3,62.66666666666667,1.0,1.0,0.0,0.0,1.0,18.15373724127496
24.35,62.83333333333333,1.0,1.0,0.0,0.0,1.0,18.21770830469691
24.4,63.0,1.0,1.0,0.0,0.0,1.0,18.28169588989704
24.43333333333333,63.16666666666666,1.0,0.0,0.0,0.0,1.0,21.5884113833622
24.46666666666667,63.33333333333334,1.0,0.0,0.0,0.0,1.0,21.62931359701571
24.5,63.5,1.0,0.0,0.0,0.0,1.0,21.67022142453438
24.53333333333333,63.66666666666667,1.0,1.0,1.0,1.0,1.0,12.7529895075043
24.56666666666667,63.83333333333334,1.0,1.0,1.0,1.0,1.0,12.80877969701617
24.6,64.0,1.0,1.0,1.0,1.0,1.0,12.86458008555099
24.56666666666667,64.16666666666667,1.0,0.0,0.0,0.0,1.0,21.76658155204046
24.53333333333333,64.33333333333334,1.0,0.0,0.0,0.0,1.0,21.74016466327065
24.5,64.5,1.0,0.0,0.0,0.0,1.0,21.7137278800171
24.46666666666667,64.66666666666666,1.0,0.0,0.0,0.0,1.0,21.68727072963717
24.43333333333333,64.83333333333334,1.0,0.0,0.0,0.0,1.0,21.660794152598
24.4,65.0,1.0,0.0,0.0,0.0,1.0,21.63429703195442
24.38333333333333,65.16666666666667,1.0,1.0,1.0,1.0,1.0,12.76661932479415
24.36666666666667,65.33333333333334,1.0,1.0,1.0,1.0,1.0,12.76794580003899
24.35,65.5,1.0,1.0,1.0,1.0,1.0,12.76923734753236
24.33333333333334,65.66666666666667,1.0,1.0,1.0,1.0,1.0,12.77049649006067
24.31666666666667,65.83333333333333,1.0,1.0,1.0,1.0,1.0,12.77172094137282
24.3,66.0,1.0,1.0,1.0,1.0,1.0,12.77291159142676
24.26666666666667,66.16666666666667,0.0,0.0,0.0,0.0,1.0,25.08229423603149
24.23333333333333,66.33333333333334,0.0,0.0,0.0,0.0,1.0,25.04895091037651
24.2,66.5,0.0,0.0,0.0,0.0,1.0,25.01560770993551
24.16666666666667,66.66666666666667,1.0,1.0,1.0,1.0,1.0,12.70458213199254
24.13333333333333,66.83333333333333,1.0,1.0,1.0,1.0,1.0,12.68736677526054
24.1,67.0,1.0,1.0,1.0,1.0,1.0,12.67009677732356
23.98333333333333,67.5,0.0,0.0,0.0,0.0,0.0,20.70145131507974
23.86666666666667,68.0,0.0,0.0,0.0,0.0,0.0,25.80837622733511
23.75,68.5,0.0,0.0,0.0,0.0,0.0,28.52124505222245
23.63333333333333,69.0,1.0,1.0,1.0,0.0,1.0,15.07665983497671
23.51666666666667,69.5,1.0,1.0,1.0,0.0,1.0,14.99919897838226
23.4,70.0,1.0,1.0,1.0,0.0,1.0,14.92129450414506
23.3,70.5,1.0,0.0,0.0,0.0,1.0,20.74842458195793
23.2,71.0,1.0,0.0,0.0,0.0,1.0,20.66683912848196
23.1,71.5,1.0,0.0,0.0,0.0,1.0,20.58508861910648
23.0,72.0,1.0,0.0,0.0,0.0,1.0,20.50317370466376
22.9,72.5,1.0,0.0,0.0,0.0,1.0,20.42109386899643
22.8,73.0,1.0,0.0,0.0,0.0,1.0,20.33885213917775
22.68333333333333,73.66666666666667,1.0,0.0,0.0,0.0,1.0,20.24600275688986
22.56666666666667,74.33333333333334,1.0,0.0,0.0,0.0,1.0,20.15289500450956
22.45,75.0,1.0,0.0,0.0,0.0,1.0,20.05953183367014
22.33333333333334,75.66666666666666,0.0,0.0,0.0,0.0,1.0,23.14863905424411
22.21666666666667,76.33333333333334,0.0,0.0,0.0,0.0,1.0,23.03194067643312
22.1,77.0,0.0,0.0,0.0,0.0,1.0,22.91524387024315
22.06666666666667,77.16666666666667,0.0,0.0,0.0,0.0,1.0,22.88190880047557
22.03333333333333,77.33333333333334,0.0,0.0,0.0,0.0,1.0,22.84857383348865
22.0,77.5,0.0,0.0,0.0,0.0,1.0,22.81523896663291
21.96666666666667,77.66666666666667,1.0,0.0,0.0,0.0,1.0,19.6662723720761
21.93333333333333,77.83333333333333,1.0,0.0,0.0,0.0,1.0,19.63831421061529
21.9,78.0,1.0,0.0,0.0,0.0,1.0,19.61033931365692
21.88333333333333,78.16666666666667,1.0,1.0,1.0,0.0,1.0,14.01406335310219
21.86666666666667,78.33333333333334,1.0,1.0,1.0,0.0,1.0,14.01013156737705
21.85,78.5,1.0,1.0,1.0,0.0,1.0,14.00617322023876
21.83333333333334,78.66666666666667,1.0,0.0,0.0,0.0,1.0,19.56677367065691
21.81666666666667,78.83333333333334,1.0,0.0,0.0,0.0,1.0,19.55585523536259
21.8,79.0,1.0,0.0,0.0,0.0,1.0,19.54492618917234
21.76666666666667,79.00000000000001,1.0,1.0,0.0,0.0,1.0,16.65795998238531
21.73333333333333,79.0,1.0,1.0,0.0,0.0,1.0,16.62244978149793
21.7,79.0,1.0,1.0,0.0,0.0,1.0,16.58693564232653
21.66666666666667,79.0,1.0,1.0,1.0,1.0,1.0,11.23176958978506
21.63333333333334,79.0,1.0,1.0,1.0,1.0,1.0,11.19058513542336
21.6,79.0,1.0,1.0,1.0,1.0,1.0,11.14938908374259
21.56666666666667,79.33333333333334,0.0,0.0,0.0,0.0,0.0,16.35741775197804
21.53333333333333,79.66666666666667,0.0,0.0,0.0,0.0,0.0,19.72424063021943
21.5,80.0,0.0,0.0,0.0,0.0,0.0,20.5297534839588
21.46666666666667,80.33333333333334,1.0,1.0,0.0,0.0,1.0,16.42533110323165
21.43333333333333,80.66666666666666,1.0,1.0,0.0,0.0,1.0,16.41139092590516
21.4,81.0,1.0,1.0,0.0,0.0,1.0,16.3973795185347
21.36666666666667,81.16666666666667,1.0,1.0,0.0,0.0,1.0,16.37257084706661
